Site,Habitat,Depth,quad,amphimedon.chloros,beige.enc.flower,black.enc,black.enc.unk,black.vein,blue.green.enc.pores,brown.chondrilla,brown.enc,brown.enc.vein,Clatherina sp.,crella.cyathophora,Diacarnus.erythraeanus,green.enc.fragmented,green-grey spiny,grey.enc.net,grey.enc.shiny,grey.enc.smoothy,grey.enc.spongy,grey.finger,grey.spiny,grey.spirastrella,Haliclona.sp,Hemimycale.arabica,Hyrtios.erectus,Ircinia.echinata,Mycale.fistulifera,Negombata.magnifica,Niphates.rowi,orange.enc,orange.enc.1,orange.enc.conuli,orange.enc.oscu,orange.enc.vein,pink.enc,pink.enc.net,Pione.vastifica,purple.osclas,red.boring,Red.enc.flower,red.enc.oscula,red.enc.smooth,red.enc.vein,red.thlike,Rhabderemia.batatas ,siphonochalina.siphonella,stylissa.carteri,suberutes.clavatus,theonella.swinhoei,verongid,white.enc.pores,white.enc.shiny,white.enc.smark,white.enc.spongy,white.enc.vein,white.gaintoscula,White.spiny,white.widevein,yellow.boring,yellow.enc.fragmented,yellow.enc.osculas,yellow.enc.tiger,yellow.enc.vein,yellow.gre.enc.thin
IUI,Shallow,20,20q16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IUI,Shallow,20,20q17,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IUI,Shallow,20,20q18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
IUI,Shallow,20,20q19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
IUI,Shallow,20,20q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IUI,Shallow,20,20q20,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
IUI,Shallow,20,20q21,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IUI,Shallow,20,20q22,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
IUI,Shallow,20,20q23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IUI,Shallow,20,20q24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IUI,Shallow,20,20q25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IUI,Shallow,20,20q26,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
IUI,Shallow,20,20q27,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
IUI,Shallow,20,20q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IUI,Shallow,20,20q30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IUI,Shallow,20,20q31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IUI,Shallow,20,20q32,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
