"","fish.model","fish.mean_fun","fish.err_dist","fish.s1","fish.s2","fish.q","fish.p","fish.b","sponges.model","sponges.mean_fun","sponges.err_dist","sponges.s1","sponges.s2","sponges.q","sponges.p","sponges.b","stony.corals.model","stony.corals.mean_fun","stony.corals.err_dist","stony.corals.s1","stony.corals.s2","stony.corals.q","stony.corals.p","stony.corals.b","soft.corals.model","soft.corals.mean_fun","soft.corals.err_dist","soft.corals.s1","soft.corals.s2","soft.corals.q","soft.corals.p","soft.corals.b"
"28","mixgaussian_zinb","mixgaussian","zinb",46.2420242001936,24.7061578261112,NA,NA,NA,"mixgaussian_zinb","mixgaussian","zinb",46.2420242001936,24.7061578261112,NA,NA,NA,"mixgaussian_zinb","mixgaussian","zinb",46.2420242001936,24.7061578261112,NA,NA,NA,"mixgaussian_zinb","mixgaussian","zinb",46.2420242001936,24.7061578261112,NA,NA,NA
"32","mixgaussian_zinbl.mu","mixgaussian","zinbl.mu",46.2423670797359,24.7060983225312,NA,NA,NA,"mixgaussian_zinbl.mu","mixgaussian","zinbl.mu",46.2423670797359,24.7060983225312,NA,NA,NA,"mixgaussian_zinbl.mu","mixgaussian","zinbl.mu",46.2423670797359,24.7060983225312,NA,NA,NA,"mixgaussian_zinbl.mu","mixgaussian","zinbl.mu",46.2423670797359,24.7060983225312,NA,NA,NA
"42","sech_negbin","sech","negbin",NA,NA,NA,0.000594724216317756,NA,"sech_negbin","sech","negbin",NA,NA,NA,0.000594724216317756,NA,"sech_negbin","sech","negbin",NA,NA,NA,0.000594724216317756,NA,"sech_negbin","sech","negbin",NA,NA,NA,0.000594724216317756,NA
"44","sech_zinb","sech","zinb",NA,NA,NA,0.000497445289928642,NA,"sech_zinb","sech","zinb",NA,NA,NA,0.000497445289928642,NA,"sech_zinb","sech","zinb",NA,NA,NA,0.000497445289928642,NA,"sech_zinb","sech","zinb",NA,NA,NA,0.000497445289928642,NA
"34","modskurt_negbin","modskurt","negbin",NA,NA,0.99944625952489,0.01651686802573,0.000156451241586282,"modskurt_negbin","modskurt","negbin",NA,NA,0.99944625952489,0.01651686802573,0.000156451241586282,"modskurt_negbin","modskurt","negbin",NA,NA,0.99944625952489,0.01651686802573,0.000156451241586282,"modskurt_negbin","modskurt","negbin",NA,NA,0.99944625952489,0.01651686802573,0.000156451241586282
"18","hofV_negbin","hofV","negbin",NA,NA,NA,NA,NA,"hofV_negbin","hofV","negbin",NA,NA,NA,NA,NA,"hofV_negbin","hofV","negbin",NA,NA,NA,NA,NA,"hofV_negbin","hofV","negbin",NA,NA,NA,NA,NA
"22","hofV_zinbl","hofV","zinbl",NA,NA,NA,NA,NA,"hofV_zinbl","hofV","zinbl",NA,NA,NA,NA,NA,"hofV_zinbl","hofV","zinbl",NA,NA,NA,NA,NA,"hofV_zinbl","hofV","zinbl",NA,NA,NA,NA,NA
"36","modskurt_zinb","modskurt","zinb",NA,NA,0.99575650187215,1.17970001707032,2.51039498860131e-12,"modskurt_zinb","modskurt","zinb",NA,NA,0.99575650187215,1.17970001707032,2.51039498860131e-12,"modskurt_zinb","modskurt","zinb",NA,NA,0.99575650187215,1.17970001707032,2.51039498860131e-12,"modskurt_zinb","modskurt","zinb",NA,NA,0.99575650187215,1.17970001707032,2.51039498860131e-12
"48","sech_zinbl.mu","sech","zinbl.mu",NA,NA,NA,0.047965425656855,NA,"sech_zinbl.mu","sech","zinbl.mu",NA,NA,NA,0.047965425656855,NA,"sech_zinbl.mu","sech","zinbl.mu",NA,NA,NA,0.047965425656855,NA,"sech_zinbl.mu","sech","zinbl.mu",NA,NA,NA,0.047965425656855,NA
"46","sech_zinbl","sech","zinbl",NA,NA,NA,0.000169690998029093,NA,"sech_zinbl","sech","zinbl",NA,NA,NA,0.000169690998029093,NA,"sech_zinbl","sech","zinbl",NA,NA,NA,0.000169690998029093,NA,"sech_zinbl","sech","zinbl",NA,NA,NA,0.000169690998029093,NA
